Title,Authors,Venue,Year,Abstract,Citations,URL
"A review on edge large language models: Design, execution, and applications","Y Zheng, Y Chen, B Qian, X Shi, Y Shu… - ACM Computing …, 2025",dl.acm.org,Year not found,"Large language models (LLMs) have revolutionized natural language processing with their exceptional understanding, synthesizing, and reasoning capabilities. However, deploying …",28,https://dl.acm.org/doi/abs/10.1145/3719664
Qwen3 technical report,"A Yang, A Li, B Yang, B Zhang, B Hui, B Zheng… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"In this work, we present Qwen3, the latest version of the Qwen model family. Qwen3 comprises a series of large language models (LLMs) designed to advance performance …",1684,https://arxiv.org/abs/2505.09388
"Advances and challenges in foundation agents: From brain-inspired intelligence to evolutionary, collaborative, and safe systems","B Liu, X Li, J Zhang, J Wang, T He, S Hong… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"The advent of large language models (LLMs) has catalyzed a transformative shift in artificial intelligence, paving the way for advanced intelligent agents capable of sophisticated …",25,https://arxiv.org/abs/2504.01990
Visual-rft: Visual reinforcement fine-tuning,"Z Liu, Z Sun, Y Zang, X Dong, Y Cao, H Duan… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Reinforcement Fine-Tuning (RFT) in Large Reasoning Models like OpenAI o1 learns from feedback on its answers, which is especially useful in applications when fine-tuning data is …",79,https://arxiv.org/abs/2503.01785
Towards reasoning era: A survey of long chain-of-thought for reasoning large language models,"Q Chen, L Qin, J Liu, D Peng, J Guan, P Wang… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Recent advancements in reasoning with large language models (RLLMs), such as OpenAI-O1 and DeepSeek-R1, have demonstrated their impressive capabilities in complex domains …",81,https://arxiv.org/abs/2503.09567
Understanding r1-zero-like training: A critical perspective,"Z Liu, C Chen, W Li, P Qi, T Pang, C Du… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"DeepSeek-R1-Zero has shown that reinforcement learning (RL) at scale can directly enhance the reasoning capabilities of LLMs without supervised fine-tuning. In this work, we …",92,https://arxiv.org/abs/2503.20783
Stop overthinking: A survey on efficient reasoning for large language models,"Y Sui, YN Chuang, G Wang, J Zhang, T Zhang… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Large Language Models (LLMs) have demonstrated remarkable capabilities in complex tasks. Recent advancements in Large Reasoning Models (LRMs), such as OpenAI o1 and …",61,https://arxiv.org/abs/2503.16419
From system 1 to system 2: A survey of reasoning large language models,"ZZ Li, D Zhang, ML Zhang, J Zhang, Z Liu… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Achieving human-level intelligence requires refining the transition from the fast, intuitive System 1 to the slower, more deliberate System 2 reasoning. While System 1 excels in …",71,https://arxiv.org/abs/2502.17419
Vlm-r1: A stable and generalizable r1-style large vision-language model,"H Shen, P Liu, J Li, C Fang, Y Ma, J Liao… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,Recently DeepSeek R1 has shown that reinforcement learning (RL) can substantially improve the reasoning capabilities of Large Language Models (LLMs) through a simple yet …,67,https://arxiv.org/abs/2504.07615
Search-r1: Training llms to reason and leverage search engines with reinforcement learning,"B Jin, H Zeng, Z Yue, J Yoon, S Arik, D Wang… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,Efficiently acquiring external knowledge and up-to-date information is essential for effective reasoning and text generation in large language models (LLMs). Prompting advanced LLMs …,63,https://arxiv.org/abs/2503.09516
Dapo: An open-source llm reinforcement learning system at scale,"Q Yu, Z Zhang, R Zhu, Y Yuan, X Zuo, Y Yue… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Inference scaling empowers LLMs with unprecedented reasoning ability, with reinforcement learning as the core technique to elicit complex reasoning. However, key technical details of …",115,https://arxiv.org/abs/2503.14476
Token-budget-aware llm reasoning,"T Han, Z Wang, C Fang, S Zhao, S Ma… - arXiv preprint arXiv …, 2024",arxiv.org,2024,Reasoning is critical for large language models (LLMs) to excel in a wide range of tasks. While methods like Chain-of-Thought (CoT) reasoning enhance LLM performance by …,65,https://arxiv.org/abs/2412.18547
Does reinforcement learning really incentivize reasoning capacity in llms beyond the base model?,"Y Yue, Z Chen, R Lu, A Zhao, Z Wang, S Song… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Reinforcement Learning with Verifiable Rewards (RLVR) has recently demonstrated notable success in enhancing the reasoning capabilities of LLMs, particularly in mathematics and …",38,https://arxiv.org/abs/2504.13837
